lg	pos	fst
Mme_chr01	25000	0.09361693598643048
Mme_chr01	75000	0.11776153959632914
Mme_chr01	125000	0.08389235546834731
Mme_chr01	175000	0.10021527795579219
Mme_chr01	225000	0.07673407140681154
Mme_chr01	275000	0.07214139556408597
Mme_chr01	325000	0.0915155477981459
Mme_chr01	375000	0.10059756064865731
Mme_chr01	425000	0.12575437671259013
Mme_chr01	475000	0.09157476965625015
Mme_chr01	525000	0.09958008924810036
Mme_chr01	575000	0.09461934209836892
Mme_chr01	625000	0.0943644618397283
Mme_chr01	675000	0.09715527147492227
Mme_chr01	725000	0.1015170383146463
Mme_chr01	775000	0.08236112134334915
Mme_chr01	825000	0.10797420455912252
Mme_chr01	875000	0.09956245476145642
Mme_chr01	925000	0.09531375341139095
Mme_chr01	975000	0.07850797559142252
Mme_chr01	1025000	0.12342680610346972
Mme_chr01	1075000	0.0734574668851333
Mme_chr01	1125000	0.09163884612746848
Mme_chr01	1175000	0.15182537271005117
Mme_chr01	1225000	0.03229007773877566
Mme_chr01	1275000	0.07407917132771302
Mme_chr01	1325000	0.08706083995191288
Mme_chr01	1375000	0.10238757491431996
Mme_chr01	1425000	0.09835167914783556
Mme_chr01	1475000	0.10721571607786116
Mme_chr01	1525000	0.08501843923961083
Mme_chr01	1575000	0.07497613108962667
Mme_chr01	1625000	0.23532133537872638
Mme_chr01	1675000	0.13133920754545386
Mme_chr01	1725000	0.10469761168977736
Mme_chr01	1775000	0.1049550705238608
Mme_chr01	1825000	0.08819788167910526
Mme_chr01	1875000	0.11355177923230154
Mme_chr01	1925000	0.13293821745666073
Mme_chr01	1975000	0.10350334789977939
Mme_chr01	2025000	0.1284272664907144
Mme_chr01	2075000	0.10055040444849953
Mme_chr01	2125000	0.15179525906913827
Mme_chr01	2175000	0.10579701348705699
Mme_chr01	2225000	0.08649695898017092
Mme_chr01	2275000	0.12003628342768818
Mme_chr01	2325000	0.08271406197853363
Mme_chr01	2375000	0.09658487330994964
Mme_chr01	2425000	0.08851822901487888
Mme_chr01	2475000	0.09791077403396149
Mme_chr01	2525000	0.09017605875737157
Mme_chr01	2575000	0.08779537993124438
Mme_chr01	2625000	0.15476003879951894
Mme_chr01	2675000	0.10745213605674106
Mme_chr01	2725000	0.09253603128785229
Mme_chr01	2775000	0.08509349528308105
Mme_chr01	2825000	0.0777091399162751
Mme_chr01	2875000	0.09118074271994478
Mme_chr01	2925000	0.09390838002699088
Mme_chr01	2975000	0.11869535927816299
Mme_chr01	3025000	0.11592544934102121
Mme_chr01	3075000	0.10956850314658517
Mme_chr01	3125000	0.09939671980849368
Mme_chr01	3175000	0.12629959829921492
Mme_chr01	3225000	0.14541549329289638
Mme_chr01	3275000	0.1157360914970179
Mme_chr01	3325000	0.13566169667662967
Mme_chr01	3375000	0.1276279573870396
Mme_chr01	3425000	0.15016605184079515
Mme_chr01	3475000	0.14867604151962777
Mme_chr01	3525000	0.1396015684435425
Mme_chr01	3575000	0.10823025432330445
Mme_chr01	3625000	0.11473446479698399
Mme_chr01	3675000	0.25916806468472275
Mme_chr01	3725000	0.12105105031313278
Mme_chr01	3775000	0.10050274407271664
Mme_chr01	3825000	0.11970844077654498
Mme_chr01	3875000	0.13446671749486092
Mme_chr01	3925000	0.1803142468501696
Mme_chr01	3975000	0.2624680622691597
Mme_chr01	4025000	0.24727837639543848
Mme_chr01	4075000	0.16055531591957184
Mme_chr01	4125000	0.1709707640935015
Mme_chr01	4175000	0.10842190190751635
Mme_chr01	4225000	0.1591680370894783
Mme_chr01	4275000	0.1901702424174242
Mme_chr01	4325000	0.134859127817372
Mme_chr01	4375000	0.1154846669973269
Mme_chr01	4425000	0.18163782514530655
Mme_chr01	4475000	0.08604306302381107
Mme_chr01	4525000	0.1293215728762282
Mme_chr01	4575000	0.1374792645391709
Mme_chr01	4625000	0.12023200034142047
Mme_chr01	4675000	0.16106304353378356
Mme_chr01	4725000	0.09975159609603047
Mme_chr01	4775000	0.14507181867943325
Mme_chr01	4825000	0.12918320516880044
Mme_chr01	4875000	0.17030754089645872
Mme_chr01	4925000	0.13700907864302136
Mme_chr01	4975000	0.12957464106355981
Mme_chr01	5025000	0.1542572295708179
Mme_chr01	5075000	0.11282525924024031
Mme_chr01	5125000	0.13619101024790015
Mme_chr01	5175000	0.15913765246556819
Mme_chr01	5225000	0.2389679438703692
Mme_chr01	5275000	0.11173854191881477
Mme_chr01	5325000	0.11977656496765765
Mme_chr01	5375000	0.12409406279455226
Mme_chr01	5425000	0.15211753481680135
