scaffold	start	end	dxy
Mme_chr01	10000001	10050000	0.013855763318198206
Mme_chr01	1000001	1050000	0.025582744325041918
Mme_chr01	100001	150000	0.02307934113709208
Mme_chr01	10050001	10100000	0.01916658878740474
Mme_chr01	10100001	10150000	0.0113886590655468
Mme_chr01	10150001	10200000	0.010413955801584163
Mme_chr01	10200001	10250000	0.010937810362423145
Mme_chr01	10250001	10300000	0.01699856860090815
Mme_chr01	10300001	10350000	0.01589931786667204
Mme_chr01	10350001	10400000	0.0140555763001597
Mme_chr01	10400001	10450000	0.013912659180461598
Mme_chr01	10450001	10500000	0.018133387904433175
Mme_chr01	10500001	10550000	0.014209347577957273
Mme_chr01	1050001	1100000	0.02505961542705355
Mme_chr01	10550001	10600000	0.015550979525601055
Mme_chr01	10600001	10650000	0.01547826085061694
Mme_chr01	10650001	10700000	0.010762778241376603
Mme_chr01	10700001	10750000	0.011933269315467069
Mme_chr01	10750001	10800000	0.014992252444216852
Mme_chr01	10800001	10850000	0.012576029294848986
Mme_chr01	10850001	10900000	0.012225626277744902
Mme_chr01	10900001	10950000	0.011086516340043536
Mme_chr01	10950001	11000000	0.01444067487438781
Mme_chr01	11000001	11050000	0.011650815163655948
Mme_chr01	1100001	1150000	0.026602940938235762
Mme_chr01	11050001	11100000	0.01327938225454744
Mme_chr01	11100001	11150000	0.014422821642227279
Mme_chr01	11150001	11200000	0.016070222130986935
Mme_chr01	11200001	11250000	0.01963349714367893
Mme_chr01	11250001	11300000	0.01539960850766462
Mme_chr01	11300001	11350000	0.01591852091778178
Mme_chr01	11350001	11400000	0.01724416966960548
Mme_chr01	11400001	11450000	0.014854339615993885
Mme_chr01	11450001	11500000	0.011440398116906112
Mme_chr01	11500001	11550000	0.009443266427125086
Mme_chr01	1150001	1200000	0.023594999114231793
Mme_chr01	11550001	11600000	0.013203376113313462
Mme_chr01	11600001	11650000	0.010932916108231095
Mme_chr01	11650001	11700000	0.01057648273869138
Mme_chr01	11700001	11750000	0.010656841811952327
Mme_chr01	11750001	11800000	0.01466579974929451
Mme_chr01	11800001	11850000	0.016131114262770654
Mme_chr01	11850001	11900000	0.014257038088744718
Mme_chr01	11900001	11950000	0.012907437826453339
Mme_chr01	11950001	12000000	0.015525672887153523
Mme_chr01	12000001	12050000	0.012327558066574314
Mme_chr01	1200001	1250000	0.027494631513310483
Mme_chr01	12050001	12100000	0.015427191298794569
Mme_chr01	12100001	12150000	0.015500736201958935
Mme_chr01	12150001	12200000	0.019382417099398468
Mme_chr01	12200001	12250000	0.011363800330851485
Mme_chr01	12250001	12300000	0.0170852360433219
Mme_chr01	12300001	12350000	0.01853217660342886
Mme_chr01	12350001	12400000	0.014377529031192582
Mme_chr01	12400001	12450000	0.0168531974473743
Mme_chr01	12450001	12500000	0.01473461248538328
Mme_chr01	12500001	12550000	0.01759042492540268
Mme_chr01	1250001	1300000	0.024821901003516996
Mme_chr01	12550001	12600000	0.01736319143797085
Mme_chr01	12600001	12650000	0.015203886219809056
Mme_chr01	12650001	12700000	0.01578028891610063
Mme_chr01	12700001	12750000	0.017145574486702453
Mme_chr01	12750001	12800000	0.016257904821462374
Mme_chr01	12800001	12850000	0.019754253805185695
Mme_chr01	12850001	12900000	0.018619354680736534
Mme_chr01	12900001	12950000	0.01894467300743409
Mme_chr01	12950001	13000000	0.018563526578445358
Mme_chr01	13000001	13050000	0.016480404921928107
Mme_chr01	1300001	1350000	0.027304690002179874
Mme_chr01	13050001	13100000	0.018277798592675552
Mme_chr01	13100001	13150000	0.01802800075870228
Mme_chr01	13150001	13200000	0.010204006309390938
Mme_chr01	13200001	13250000	0.0009202468122868714
Mme_chr01	13250001	13300000	0.0004721626814995994
Mme_chr01	13300001	13350000	0.0009357908753373588
Mme_chr01	13350001	13400000	0.0005949569323685097
Mme_chr01	13400001	13450000	0.0005928925436488705
Mme_chr01	13450001	13500000	0.0005321411548115174
Mme_chr01	13500001	13550000	0.0003978904031515098
Mme_chr01	1350001	1400000	0.02717665578336536
Mme_chr01	13550001	13600000	0.0008297372732847684
Mme_chr01	13600001	13650000	0.0006489430065947826
Mme_chr01	13650001	13700000	0.0006167203773456699
Mme_chr01	13700001	13750000	0.001144366059784693
Mme_chr01	13750001	13800000	0.0013249013021313432
Mme_chr01	13800001	13850000	0.0013543901880077713
Mme_chr01	13850001	13900000	0.001028294801812559
Mme_chr01	13900001	13950000	0.0007420488508156954
Mme_chr01	13950001	14000000	0.0021725065897394455
Mme_chr01	14000001	14050000	0.002684654272473589
Mme_chr01	1400001	1450000	0.029224204725600313
Mme_chr01	14050001	14100000	0.0024490088494602707
Mme_chr01	14100001	14150000	0.003385946817207037
Mme_chr01	14150001	14200000	0.002328980512800569
