chromo	col1	col2	avg_dep	n_snps
1	0	50000	45.755102040816325	49
1	50000	100000	49.38709677419355	93
1	100000	150000	51.627450980392155	51
1	150000	200000	50.66442953020134	149
1	200000	250000	51.53012048192771	83
1	250000	300000	54.214285714285715	56
1	300000	350000	51.85858585858586	99
1	350000	400000	52.49074074074074	108
1	400000	450000	52.04938271604938	162
1	450000	500000	56.346774193548384	124
1	500000	550000	54.37185929648241	199
1	550000	600000	58.60655737704918	305
1	600000	650000	57.62362637362637	364
1	650000	700000	60.643026004728135	423
1	700000	750000	55.87936507936508	315
1	750000	800000	58.38875305623472	409
1	800000	850000	55.72147651006711	298
1	850000	900000	57.19308357348703	347
1	900000	950000	60.95798319327731	476
1	950000	1000000	60.90350877192982	114
1	1000000	1050000	45.44444444444444	36
1	1050000	1100000	45.4	25
1	1100000	1150000	49.06060606060606	66
1	1150000	1200000	54.270833333333336	48
1	1200000	1250000	39.125	8
1	1250000	1300000	46.81818181818182	22
1	1300000	1350000	52.53191489361702	47
1	1350000	1400000	47.607142857142854	28
1	1400000	1450000	50.803030303030305	66
1	1450000	1500000	59.90196078431372	51
1	1500000	1550000	44.23809523809524	21
1	1550000	1600000	47.9375	64
1	1600000	1650000	45.27777777777778	18
1	1650000	1700000	50.53488372093023	86
1	1700000	1750000	48.25352112676056	71
1	1750000	1800000	52.93846153846154	260
1	1800000	1850000	48.65986394557823	147
1	1850000	1900000	56.887573964497044	169
1	1900000	1950000	49.851190476190474	168
1	1950000	2000000	49.845360824742265	97
1	2000000	2050000	47.65151515151515	66
1	2050000	2100000	48.49122807017544	57
1	2100000	2150000	51.4	65
1	2150000	2200000	52.46762589928058	139
1	2200000	2250000	47.48684210526316	76
1	2250000	2300000	51.10526315789474	76
1	2300000	2350000	52.8974358974359	39
1	2350000	2400000	48.56666666666667	60
1	2400000	2450000	52.80769230769231	26
1	2450000	2500000	51.52127659574468	188
1	2500000	2550000	53.875	104
1	2550000	2600000	52	65
1	2600000	2650000	51.28421052631579	95
1	2650000	2700000	51.51219512195122	328
1	2700000	2750000	53.48876404494382	356
1	2750000	2800000	50.18507462686567	335
1	2800000	2850000	58.62162162162162	370
1	2850000	2900000	50.25142857142857	175
1	2900000	2950000	62.54306220095694	418
1	2950000	3000000	61.052060737527114	461
1	3000000	3050000	55.50431034482759	464
1	3050000	3100000	64.05489260143199	419
1	3100000	3150000	60.14254385964912	456
1	3150000	3200000	59.988290398126466	427
1	3200000	3250000	58.21052631578947	532
1	3250000	3300000	51.92834890965732	321
1	3300000	3350000	63.79035639412998	477
1	3350000	3400000	59.48185483870968	496
1	3400000	3450000	57.39618138424821	419
1	3450000	3500000	66.96275605214153	537
1	3500000	3550000	61.07815275310835	563
1	3550000	3600000	67.61271676300578	519
1	3600000	3650000	60.736363636363635	550
1	3650000	3700000	59.49009009009009	555
1	3700000	3750000	60.15584415584416	539
1	3750000	3800000	58.85493230174081	517
1	3800000	3850000	63.978	500
1	3850000	3900000	66.94616639477977	613
1	3900000	3950000	73.26948051948052	616
1	3950000	4000000	91.67464114832536	209
1	4000000	4050000	87.48863636363636	264
1	4050000	4100000	68.64827586206897	435
1	4100000	4150000	63.032075471698114	530
1	4150000	4200000	64.12914485165794	573
1	4200000	4250000	64.2814371257485	501
1	4250000	4300000	69.4622641509434	636
1	4300000	4350000	60.336470588235294	425
1	4350000	4400000	67.70760233918129	342
1	4400000	4450000	68.2023346303502	514
1	4450000	4500000	65.07575757575758	528
1	4500000	4550000	63.256594724220626	417
1	4550000	4600000	56.55619596541787	347
1	4600000	4650000	61.957104557640754	373
1	4650000	4700000	55.40636042402827	283
1	4700000	4750000	65.5876993166287	439
1	4750000	4800000	71.89308176100629	477
1	4800000	4850000	65.80169491525423	590
1	4850000	4900000	67.19529837251356	553
1	4900000	4950000	62.73835920177384	451
1	4950000	5000000	71.27861771058315	463
1	5000000	5050000	73.45736434108527	516
1	5050000	5100000	67.7423935091278	493
1	5100000	5150000	75.04395604395604	637
1	5150000	5200000	70.26366559485531	622
1	5200000	5250000	67.16266173752311	541
1	5250000	5300000	72.64493996569469	583
1	5300000	5350000	72.8042414355628	613
1	5350000	5400000	71.22610294117646	544
1	5400000	5450000	67.89678510998309	591
1	5450000	5500000	69.25697503671071	681
1	5500000	5550000	69.70238095238095	672
1	5550000	5600000	55.922764227642276	492
1	5600000	5650000	71.04936014625228	547
1	5650000	5700000	67.94117647058823	544
1	5700000	5750000	72.659169550173	578
1	5750000	5800000	87.7900826446281	605
1	5800000	5850000	77.01946472019465	411
1	5850000	5900000	81.96127562642369	439
1	5900000	5950000	85.08668730650155	323
1	5950000	6000000	91.72	200
1	6000000	6050000	84.36335403726709	322
1	6050000	6100000	89.38686131386861	411
1	6100000	6150000	81.78826530612245	392
1	6150000	6200000	64.90926640926641	518
1	6200000	6250000	67.02836879432624	423
1	6250000	6300000	67.1381443298969	485
1	6300000	6350000	69.39102564102564	312
1	6350000	6400000	70.56590909090909	440
1	6400000	6450000	76.83566433566433	572
1	6450000	6500000	64.86837606837607	585
1	6500000	6550000	63.95915279878971	661
1	6550000	6600000	69.0961887477314	551
1	6600000	6650000	66.44172932330827	532
1	6650000	6700000	64.29038112522686	551
1	6700000	6750000	68.95675675675676	555
1	6750000	6800000	63.20272904483431	513
1	6800000	6850000	71.17604355716878	551
1	6850000	6900000	68.00493421052632	608
1	6900000	6950000	67.96235679214402	611
1	6950000	7000000	72.03448275862068	638
1	7000000	7050000	70.92006525285481	613
1	7050000	7100000	72.30689655172414	580
1	7100000	7150000	67.05970149253731	536
1	7150000	7200000	67.5859872611465	628
1	7200000	7250000	73.61133603238866	494
1	7250000	7300000	73.07772020725389	386
1	7300000	7350000	61.78092783505155	388
1	7350000	7400000	68.875	384
1	7400000	7450000	68.74285714285715	490
1	7450000	7500000	66.68121442125238	527
1	7500000	7550000	65.83739837398375	492
1	7550000	7600000	66.79735682819383	454
1	7600000	7650000	60.86764705882353	476
1	7650000	7700000	67.8993710691824	636
1	7700000	7750000	68.78	600
1	7750000	7800000	68.430426716141	539
1	7800000	7850000	72.23091247672254	537
1	7850000	7900000	64.19170984455958	579
1	7900000	7950000	69.42120343839541	349
1	7950000	8000000	69.31111111111112	270
1	8000000	8050000	75.55765920826161	581
1	8050000	8100000	72.03049759229535	623
1	8100000	8150000	70.2521551724138	464
1	8150000	8200000	85.45042492917847	353
1	8200000	8250000	82.12713472485768	527
1	8250000	8300000	79.16666666666667	486
1	8300000	8350000	75.58904109589041	511
1	8350000	8400000	80.26153846153846	455
1	8400000	8450000	77.46153846153847	520
1	8450000	8500000	83.9572864321608	398
1	8500000	8550000	83.96503496503496	429
1	8550000	8600000	91.84020618556701	388
1	8600000	8650000	88.47483588621444	457
1	8650000	8700000	79.74700854700855	585
1	8700000	8750000	72.22487223168655	587
1	8750000	8800000	71.17047451669596	569
1	8800000	8850000	77.36206896551724	464
1	8850000	8900000	71.61753731343283	536
1	8900000	8950000	69.88622754491018	501
1	8950000	9000000	74.19217081850533	562
1	9000000	9050000	61.780126849894295	473
1	9050000	9100000	71.882797731569	529
1	9100000	9150000	66.85448916408669	646
1	9150000	9200000	75.54895104895105	572
1	9200000	9250000	72.7624584717608	602
1	9250000	9300000	71.72398190045249	663
1	9300000	9350000	70.80614203454894	521
1	9350000	9400000	75.32860520094563	423
1	9400000	9450000	84.28342245989305	374
1	9450000	9500000	74.09577922077922	616
1	9500000	9550000	79.08503937007875	635
1	9550000	9600000	78.04152249134948	578
1	9600000	9650000	77.29867674858222	529
1	9650000	9700000	76.62618595825427	527
1	9700000	9750000	70.41489361702128	564
1	9750000	9800000	72.74405850091408	547
1	9800000	9850000	76.40363636363637	550
1	9850000	9900000	80.10526315789474	532
1	9900000	9950000	80.767578125	512
1	9950000	10000000	74.80733944954129	327
1	10000000	10050000	81.17977528089888	534
1	10050000	10100000	67.3679525222552	674
1	10100000	10150000	77.41497975708502	494
1	10150000	10200000	70.53513513513514	370
1	10200000	10250000	75.47883597883597	378
1	10250000	10300000	67.11204013377926	598
1	10300000	10350000	76.61832061068702	524
1	10350000	10400000	83.18666666666667	525
1	10400000	10450000	73.7394495412844	545
1	10450000	10500000	71.10971223021583	556
1	10500000	10550000	69.26303317535545	422
1	10550000	10600000	72.40528634361233	454
1	10600000	10650000	70.18864097363083	493
1	10650000	10700000	67.85082872928177	362
1	10700000	10750000	68.75398633257403	439
1	10750000	10800000	71.06508875739645	507
1	10800000	10850000	82	430
1	10850000	10900000	77.57377049180327	427
1	10900000	10950000	82.01531728665208	457
1	10950000	11000000	73.9535655058043	603
1	11000000	11050000	84.54508196721312	488
1	11050000	11100000	80.28842504743832	527
1	11100000	11150000	73.98778359511344	573
1	11150000	11200000	75.15660685154975	613
1	11200000	11250000	65.92092257001647	607
1	11250000	11300000	67.80545454545455	550
1	11300000	11350000	66.92549019607843	510
1	11350000	11400000	65.24767225325884	537
1	11400000	11450000	67.23157894736842	570
1	11450000	11500000	69.86792452830188	424
1	11500000	11550000	77.16566265060241	332
1	11550000	11600000	71.87206823027718	469
1	11600000	11650000	66.6984126984127	441
1	11650000	11700000	77.1025	400
1	11700000	11750000	73.7215777262181	431
1	11750000	11800000	66.89002036659878	491
1	11800000	11850000	66.76508972267537	613
1	11850000	11900000	60.203342618384404	359
1	11900000	11950000	68.64393939393939	396
1	11950000	12000000	70.64672897196262	535
1	12000000	12050000	76.70476190476191	420
1	12050000	12100000	74.88235294117646	68
1	12100000	12150000	76.18677685950414	605
1	12150000	12200000	68.05982905982906	585
1	12200000	12250000	84.63397129186603	418
1	12250000	12300000	64	393
1	12300000	12350000	63.43968871595331	514
1	12350000	12400000	70.40992647058823	544
1	12400000	12450000	69.7140221402214	542
1	12450000	12500000	71.24263038548753	441
1	12500000	12550000	71.23509933774834	604
1	12550000	12600000	70.67777777777778	540
1	12600000	12650000	70.94871794871794	429
1	12650000	12700000	68.6268115942029	552
1	12700000	12750000	69.73465346534654	505
1	12750000	12800000	69.31647940074906	534
1	12800000	12850000	66.17747440273038	586
1	12850000	12900000	71.57537154989384	471
1	12900000	12950000	65.0439121756487	501
1	12950000	13000000	69.04507042253522	710
1	13000000	13050000	68.09911504424778	565
1	13050000	13100000	69.75450450450451	444
1	13100000	13150000	68.25625	320
1	13150000	13200000	73.99019607843137	102
1	13200000	13250000	97.21428571428571	14
1	13250000	13300000	97	9
1	13300000	13350000	95	7
1	13350000	13400000	95.21428571428571	14
1	13400000	13450000	83.8	15
